subj,obj
cesaret,_
_,yer
tribün,_
ayna,_
_,direksiyon
oğlan,pot
bisikletçi,rekor
bu,omuz
_,_
kaburga,_
_,çeşme
anne,arkadaş
_,fiyat
sen,yay
_,Ayşe
koku,direk
sen,_
dal,_
düşüş,seri
teyze,yumurta
_,Ayşe
_,pot
_,kalp
ihlal,güven
anne,arkadaş
_,pul
dinlendirme,doku
rekor,_
sandalye,_
zincir,_
tribün,_
aslan,kemik
biz,bacak
yağmur,sıcak
sait,ıstakoz
bay,kol
bıçak,_
postel,başparmak
kaburga,_
söz,umut
baston,_
kalp,_
_,koz
bıçak,_
dal,_
deniz,_
_,rekor
_,jilet
_,yumurta
