subj,obj
izleyici,_
_,_
_,yunus
baba,_
adam,_
zeynep,_
çocuk,_
_,_
öbür,_
taş,_
dalga,_
kardeş,_
bohçacı,_
yüz,_
ağız,_
adam,baba
bahçe,_
düşman,_
atatürk,_
murat,ben
general,_
onlar,_
muallim,surat
personel,_
yüz,_
beyefendi,_
abla,hapşırık
_,ben
biz,tahir
yüz,_
herkes,ben
siz,ben
paşa,_
ödül,adam
_,güneş
_,yanıt
düşman,_
o,_
_,şey
_,bey
iç,_
karı,ben
melahat,_
_,o
zeynep,hamur
_,espri
_,taş
abla,_
_,fıkra
_,şaka
_,sos
_,su
semaver,_
_,şeker
kemeraltı,turist
anne,çay
şıra,_
kurt,_
çorba,_
mide,_
kan,_
_,_
pınar,_
_,_
deniz,_
tencere,_
malzeme,_
cezve,_
_,sos
kazan,_
kahve,_
bura,kuş
_,sabun
iş,_
beyin,_
hiddet,_
iş,_
yer,ceset
öfke,_
ders,_
süt,_
_,tavuk
_,yemek
_,_
şey,_
konu,_
çorba,_
yer,ceset
karınca,_
sirke,_
konu,_
komposto,_
_,su
_,limon
su,_
krema,_
_,şeker
çaydanlık,_
yağ,_
